Biznameclick,Biznameclick_link,Reviewcount,Business,Categorylisttext,Secondary 1,Secondary 2,Phonenumber
Kitchen Republic,https://www.yelp.com/biz/kitchen-republic-huntington-beach,165,$$,Tapas/Small Plates,7821 Edinger Ave,Huntington Beach,(714) 891-8890
SeaSalt Woodfire Grill,https://www.yelp.com/biz/seasalt-woodfire-grill-huntington-beach-2,238,$$,Breakfast & Brunch- Steakhouses- American (Traditional),21214 Beach Blvd,Huntington Beach,(714) 804-5545
Luna Grill Newland Center,https://www.yelp.com/biz/luna-grill-newland-center-huntington-beach-4,36,$$,Mediterranean- Salad- Wraps,19720 Beach Blvd,Huntington Beach,(714) 377-2000
Ola Mexican Kitchen,https://www.yelp.com/biz/ola-mexican-kitchen-huntington-beach,718,$$,Mexican,21040 Pacific Coast Hwy,Huntington Beach,(714) 969-7300
Bear Flag Fish Company,https://www.yelp.com/biz/bear-flag-fish-company-huntington-beach-2,170,$$,Seafood- Seafood Markets- Sushi Bars,21058 Pacific Coast Hwy,Huntington Beach,(714) 374-0558
Surf City Fish Grill,https://www.yelp.com/biz/surf-city-fish-grill-huntington-beach,116,$$,Seafood- Gluten-Free- Fish & Chips,17965 Beach Blvd,Huntington Beach,(714) 375-4861
Tabu Shabu - Huntington Beach,https://www.yelp.com/biz/tabu-shabu-huntington-beach-huntington-beach,71,$$,Hot Pot- Izakaya- Soup,16821 Algonquin St,Huntington Beach,(714) 951-9204
The Pizza Press,https://www.yelp.com/biz/the-pizza-press-huntington-beach-2,19,$,Pizza- Salad,150 5th St,Huntington Beach,(714) 374-1367
Ritter’s Steam Kettle Cooking,https://www.yelp.com/biz/ritters-steam-kettle-cooking-huntington-beach,623,$$,Cajun/Creole- Seafood,180 5th St,Huntington Beach,(714) 536-7733
BLK Earth Sea Spirits,https://www.yelp.com/biz/blk-earth-sea-spirits-huntington-beach,381,$$$,Seafood- Steakhouses- American (New),300 Pacific Coast Hwy,Huntington Beach,(714) 960-0996
AYCE Sushi HB,https://www.yelp.com/biz/ayce-sushi-hb-huntington-beach-3,317,$$,Japanese- Sushi Bars,5864 Edinger Ave,Huntington Beach,(714) 916-0359
Huntington Ramen,https://www.yelp.com/biz/huntington-ramen-huntington-beach,272,$$,Sushi Bars- Ramen- Desserts,7391 Warner Ave,Huntington Beach,(714) 715-3631
3rd Generation Restaurant,https://www.yelp.com/biz/3rd-generation-restaurant-huntington-beach,39,$$,Sushi Bars- Ramen- Pan Asian,7311 Edinger Ave,Huntington Beach,(714) 892-1700
Grinderz,https://www.yelp.com/biz/grinderz-huntington-beach,557,$,Burgers- Sports Bars,7561 Center Ave,Huntington Beach,(714) 895-2800
Holé Molé,https://www.yelp.com/biz/hol%C3%A9-mol%C3%A9-huntington-beach-2,299,$,Mexican- Comfort Food,17491 Beach Blvd,Huntington Beach,(714) 841-3474
Red Table,https://www.yelp.com/biz/red-table-huntington-beach,609,$$,American (New)- Gastropubs- Diners,16821 Algonquin St,Huntington Beach,(714) 846-4700
Seafood Zone - Mistral Hunter,https://www.yelp.com/biz/seafood-zone-mistral-hunter-huntington-beach,920,$,Mexican- Seafood,6441 McFadden Ave,Huntington Beach,(714) 891-1981
The Vox Kitchen,https://www.yelp.com/biz/the-vox-kitchen-fountain-valley-2,97,$$,Vietnamese- Chinese- Taiwanese,16161 Brookhurst St,Fountain Valley,(714) 418-9729
The Corner,https://www.yelp.com/biz/the-corner-huntington-beach-2,609,$$,American (New)- Bars- Breakfast & Brunch,8961 Adams Ave,Huntington Beach,(714) 968-6800
Board & Brew - Huntington Beach,https://www.yelp.com/biz/board-and-brew-huntington-beach-huntington-beach,64,$,Beer Bar- Sandwiches,19720 Beach Blvd,Huntington Beach,(714) 377-7100
Eureka!,https://www.yelp.com/biz/eureka-huntington-beach,594,$$,American (New)- Bars- Burgers,7631 Edinger Ave,Huntington Beach,(714) 230-3955
Fish Camp,https://www.yelp.com/biz/fish-camp-huntington-beach,550,$$,Seafood,16600 Pacific Coast Hwy,Huntington Beach,(562) 592-2267
Via He,https://www.yelp.com/biz/via-he-garden-grove-2,28,$,Vietnamese,10563 Bolsa Ave,Garden Grove,(714) 263-0134
STACKED,https://www.yelp.com/biz/stacked-huntington-beach-3,590,$$,American (New)- Breakfast & Brunch- Bars,7490 Edinger Ave,Huntington Beach,(657) 845-2100
Niya Sushi,https://www.yelp.com/biz/niya-sushi-huntington-beach-4,76,$$,Sushi Bars- Japanese- Salad,5910 Warner Ave,Huntington Beach,(714) 377-9842
Sushi On Fire,https://www.yelp.com/biz/sushi-on-fire-huntington-beach,1442,$$,Sushi Bars- Japanese,301 Main St,Huntington Beach,(714) 374-8885
Old Crow Smokehouse Huntington Beach,https://www.yelp.com/biz/old-crow-smokehouse-huntington-beach-huntington-beach,410,$$,Country Dance Halls- Barbeque- Bars,21022 Pacific Coast Hwy,Huntington Beach,(714) 536-0381
Cháo ?êm,https://www.yelp.com/biz/ch%C3%A1o-%C4%91%C3%AAm-garden-grove,41,$,Vietnamese,9754 Garden Grove Blvd,Garden Grove,(714) 927-9008
Slater’s 50/50 - Huntington Beach,https://www.yelp.com/biz/slaters-50-50-huntington-beach-huntington-beach,2807,$$,Burgers- Sports Bars- Gluten-Free,8082 Adams Ave,Huntington Beach,(714) 594-5730
The Speakeasy,https://www.yelp.com/biz/the-speakeasy-huntington-beach,394,$$,Tapas/Small Plates- Beer Bar- Speakeasies,7561 Center Ave,Huntington Beach,(714) 899-3279
Poki Star,https://www.yelp.com/biz/poki-star-huntington-beach,255,$$,Hawaiian- Japanese- Asian Fusion,16475 Bolsa Chica Rd,Huntington Beach,(714) 846-3100
Subculture Extraordinary Sandwiches,https://www.yelp.com/biz/subculture-extraordinary-sandwiches-huntington-beach,922,$,Sandwiches,7862 Warner Ave,Huntington Beach,(714) 847-1113
Pho Ga Hai Van,https://www.yelp.com/biz/pho-ga-hai-van-westminster,12,$,Vietnamese- Noodles- Soup,14072 Magnolia St,Westminster,(657) 400-9140
Silk Noodle Bar,https://www.yelp.com/biz/silk-noodle-bar-huntington-beach,350,$$,Vietnamese- Asian Fusion- Noodles,16334 Beach Blvd,Huntington Beach,(714) 848-1200
Roman’s Mexi-Cali Grill,https://www.yelp.com/biz/romans-mexi-cali-grill-huntington-beach-2,127,$,Mexican- Breakfast & Brunch- American (Traditional),5050 Heil Ave,Huntington Beach,(562) 592-0050
Sancho’s Tacos,https://www.yelp.com/biz/sanchos-tacos-huntington-beach-2,712,$,Mexican,602 Pacific Coast Hwy,Huntington Beach,(714) 536-8226
Lot 579,https://www.yelp.com/biz/lot-579-huntington-beach-2,8,$$,Coffee & Tea- Seafood- Sandwiches,21010 Pacific Coast Hwy,Huntington Beach,(714) 960-3647
Grams BBQ,https://www.yelp.com/biz/grams-bbq-garden-grove-2,30,$$,Barbeque- Diners- Bars,8902 Garden Grove Blvd,Garden Grove,(714) 530-5620
Saigon District Restaurant,https://www.yelp.com/biz/saigon-district-restaurant-huntington-beach-2,150,$$,Seafood- Vietnamese- Asian Fusion,19171 Magnolia St,Huntington Beach,(657) 845-9189
The Backhouse,https://www.yelp.com/biz/the-backhouse-huntington-beach,145,$$,Sushi Bars- Ramen,21058 Pacific Coast Hwy,Huntington Beach,(714) 374-1010
ZeroZero39 Pizzeria,https://www.yelp.com/biz/zerozero39-pizzeria-huntington-beach,339,$,Pizza- Italian- Sandwiches,221 Main St,Huntington Beach,(714) 969-2929
Capones Italian Cucina,https://www.yelp.com/biz/capones-italian-cucina-huntington-beach,362,$$,Italian- Seafood,19688 Beach Blvd,Huntington Beach,(714) 593-2888
Pho K-Tea,https://www.yelp.com/biz/pho-k-tea-fountain-valley,10,$,Asian Fusion,18041 Magnolia St,Fountain Valley,(714) 968-2199
Tanner’s,https://www.yelp.com/biz/tanners-huntington-beach,283,$$,Lounges- Cocktail Bars- American (New),21080 Pacific Coast Hwy,Huntington Beach,(714) 698-6130
Da Hawaiian Kitchen,https://www.yelp.com/biz/da-hawaiian-kitchen-huntington-beach,515,$$,Hawaiian,9842 Adams Ave,Huntington Beach,(714) 968-8900
Harbour Rackhouse,https://www.yelp.com/biz/harbour-rackhouse-huntington-beach-3,89,$$,American (Traditional)- Sports Bars- Sandwiches,16903 Algonquin St,Huntington Beach,(714) 377-3893
Cucina Alessa,https://www.yelp.com/biz/cucina-alessa-huntington-beach-3,712,$$,Italian- Party & Event Planning,520 Main St,Huntington Beach,(714) 969-2148
Howl Wok Mongolian BBQ,https://www.yelp.com/biz/howl-wok-mongolian-bbq-garden-grove,34,$,Mongolian- Barbeque- Do-It-Yourself Food,13225 Harbor Blvd,Garden Grove,(714) 867-6342
Mazara Trattoria,https://www.yelp.com/biz/mazara-trattoria-huntington-beach,325,$$,Italian,18027 Beach Blvd,Huntington Beach,(714) 465-4874
Sugar Shack Café,https://www.yelp.com/biz/sugar-shack-caf%C3%A9-huntington-beach-2,922,$,Breakfast & Brunch,213 Main St,Huntington Beach,(714) 536-0355
Imola,https://www.yelp.com/biz/imola-huntington-beach-3,161,$$,Italian- Bars,210 5th St,Huntington Beach,(714) 536-5001
Shabu On Fire,https://www.yelp.com/biz/shabu-on-fire-huntington-beach,168,$$,Asian Fusion- Sushi Bars- Japanese,301 Main St,Huntington Beach,(714) 960-9777
Coq Au Vin,https://www.yelp.com/biz/coq-au-vin-fountain-valley,14,$$,Vietnamese,16033 Brookhurst St,Fountain Valley,(714) 884-4543
G’s Boat House,https://www.yelp.com/biz/gs-boat-house-huntington-beach,94,$$,Seafood- Breakfast & Brunch- Sandwiches,200 Main St,Huntington Beach,(714) 969-3100
Bruxie,https://www.yelp.com/biz/bruxie-huntington-beach,712,$,Breakfast & Brunch- Sandwiches- Waffles,180 5th St,Huntington Beach,(657) 215-3559
Xa Sweet & Savory Cafe,https://www.yelp.com/biz/xa-sweet-and-savory-cafe-huntington-beach,147,$$,American (New)- Bakeries- Cafes,21202 Beach Blvd,Huntington Beach,(714) 969-2900
Sebastiani’s Italian Bistro,https://www.yelp.com/biz/sebastianis-italian-bistro-huntington-beach,170,$$,Italian- Wine Bars,6078 Warner Ave,Huntington Beach,(714) 841-3619
Tropical Smoothie Cafe,https://www.yelp.com/biz/tropical-smoothie-cafe-fountain-valley,26,$,Juice Bars & Smoothies- Cafes,9480 Talbert Ave,Fountain Valley,(714) 375-0018
Thai Gulf Restaurant,https://www.yelp.com/biz/thai-gulf-restaurant-huntington-beach-2,1289,$,Thai- Salad- Seafood,19072 Beach Blvd,Huntington Beach,(714) 378-6003
Mona Lisa Cucina,https://www.yelp.com/biz/mona-lisa-cucina-huntington-beach-2,428,$$,Italian- Seafood,9017 E Adams Ave,Huntington Beach,(714) 965-9900
El Porton Colombiano Restaurant,https://www.yelp.com/biz/el-porton-colombiano-restaurant-huntington-beach,229,$$,Colombian,8863 Adams Ave,Huntington Beach,(714) 968-6677
Ways and Means Oyster House,https://www.yelp.com/biz/ways-and-means-oyster-house-huntington-beach-2,512,$$,Seafood- Live/Raw Food- Tapas/Small Plates,21022 Pacific Coast Hwy,Huntington Beach,(714) 960-4300
2145 Pizza,https://www.yelp.com/biz/2145-pizza-costa-mesa,31,$$,Pizza- Tapas/Small Plates,2145 Placentia Ave,Costa Mesa,(949) 873-5853
The American Dream,https://www.yelp.com/biz/the-american-dream-huntington-beach,57,$$,American (Traditional)- Beer Bar,21058 Pacific Coast Hwy,Huntington Beach,(714) 374-1330
Olive Pit,https://www.yelp.com/biz/olive-pit-huntington-beach,610,$$,Mediterranean- Greek- Italian,16365 Bolsa Chica St,Huntington Beach,(714) 316-5000
Lemonade Huntington Beach,https://www.yelp.com/biz/lemonade-huntington-beach-huntington-beach,199,$$,American (New),21022 Pacific Coast Hwy,Huntington Beach,(714) 604-1072
Dough Dough’s Hawaiian Cafe & Malasadas,https://www.yelp.com/biz/dough-doughs-hawaiian-cafe-and-malasadas-huntington-beach,323,$,Hawaiian- Salad- Sandwiches,16552 Bolsa Chica St,Huntington Beach,(714) 846-8253
Magic Mikes Pizza,https://www.yelp.com/biz/magic-mikes-pizza-westminster,25,$$,Pizza- Italian,6152 Garden Grove Blvd,Westminster,(714) 898-0211
IKEDA,https://www.yelp.com/biz/ikeda-huntington-beach,332,$$,Japanese,18900 Beach Blvd,Huntington Beach,(714) 861-2125
Le Pho,https://www.yelp.com/biz/le-pho-huntington-beach,146,$,Vietnamese- Noodles- Sandwiches,6522 Bolsa Ave,Huntington Beach,(714) 894-3784
Hangout Too Southern Bar & Grill,https://www.yelp.com/biz/hangout-too-southern-bar-and-grill-huntington-beach,220,$$,Burgers- Barbeque- Seafood,16446 Bolsa Chica St,Huntington Beach,(657) 204-9306
Golden Olive,https://www.yelp.com/biz/golden-olive-huntington-beach,299,$$,Mediterranean- Pizza,3801 Warner Ave,Huntington Beach,(714) 840-8249
Saffron Cuisine of India,https://www.yelp.com/biz/saffron-cuisine-of-india-newport-beach-4,36,$$,Indian- Gastropubs- Desserts,2400 West Coast Hwy,Newport Beach,(949) 650-0155
That’s Amore,https://www.yelp.com/biz/thats-amore-huntington-beach,121,$$,Italian,16400 Pacific Coast Hwy,Huntington Beach,(562) 592-7104
Huckleberry’s Famous Sandwiches,https://www.yelp.com/biz/huckleberrys-famous-sandwiches-huntington-beach,335,$,Sandwiches,15891 Gothard St,Huntington Beach,(714) 894-2825
Caffe Caldo,https://www.yelp.com/biz/caffe-caldo-huntington-beach,568,$$,Coffee & Tea- Breakfast & Brunch- Cafes,21070 Beach Blvd,Huntington Beach,(714) 960-5900
Rancho Viejo Mexican & Seafood,https://www.yelp.com/biz/rancho-viejo-mexican-and-seafood-huntington-beach-2,142,$,Mexican- Seafood,15471 Edwards St,Huntington Beach,(714) 893-7380
Kiki Hawaiian BBQ,https://www.yelp.com/biz/kiki-hawaiian-bbq-costa-mesa-3,82,$,Poke- Hawaiian- Barbeque,3030 Harbor Blvd,Costa Mesa,(714) 382-0884
Coach’s Mediterranean Grill & Bar,https://www.yelp.com/biz/coachs-mediterranean-grill-and-bar-huntington-beach,284,$$,Mediterranean,200 Main St,Huntington Beach,(714) 969-2233
Sessions West Coast Deli,https://www.yelp.com/biz/sessions-west-coast-deli-huntington-beach-2,164,$$,Delis- Sandwiches- American (New),414 Pacific Coast Hwy,Huntington Beach,(714) 594-3899
solita Tacos & Margaritas,https://www.yelp.com/biz/solita-tacos-and-margaritas-huntington-beach,933,$$,Mexican- Breakfast & Brunch- Bars,7631 Edinger Ave,Huntington Beach,(714) 894-2792
Vegan Nirvana,https://www.yelp.com/biz/vegan-nirvana-huntington-beach,637,$$,Vegan- Sandwiches- Wraps,7862 Warner Ave,Huntington Beach,(714) 847-4080
NOBU Newport Beach,https://www.yelp.com/biz/nobu-newport-beach-newport-beach,26,$$$$,Sushi Bars- Salad- Lounges,3450 Via Oporto,Newport Beach,(949) 429-4440
Luna Grill Bella Terra,https://www.yelp.com/biz/luna-grill-bella-terra-huntington-beach,296,$$,Mediterranean- Greek,7511 Edinger Ave,Huntington Beach,(714) 373-5862
Lemon Thai Cuisine,https://www.yelp.com/biz/lemon-thai-cuisine-huntington-beach,81,$$,Thai,18687 Main St,Huntington Beach,(714) 375-1133
NeoTsai Grill Teriyaki,https://www.yelp.com/biz/neotsai-grill-teriyaki-huntington-beach,34,$,Japanese- Asian Fusion,15762 Springdale St,Huntington Beach,(657) 464-9799
Naugles,https://www.yelp.com/biz/naugles-huntington-beach-2,50,$,Food Stands- Burgers- Mexican,21351 Pacific Coast Hwy,Huntington Beach,(714) 551-5642
Paderia Bakehouse,https://www.yelp.com/biz/paderia-bakehouse-fountain-valley,17,$,Desserts- Bakeries- American (Traditional),18279 Brookhurst St,Fountain Valley,(949) 478-5273
Peruvian Rotisserie Chicken,https://www.yelp.com/biz/peruvian-rotisserie-chicken-huntington-beach-2,349,$$,Peruvian- Chicken Shop,19092 Beach Blvd,Huntington Beach,(714) 593-4111
Thai Pepper,https://www.yelp.com/biz/thai-pepper-huntington-beach,473,$,Thai,18023 Beach Blvd,Huntington Beach,(714) 843-9818
Gyu-Kaku Japanese BBQ,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-huntington-beach,1524,$$,Japanese- Barbeque,7862 Warner Ave,Huntington Beach,(714) 842-8333
Matsu Restaurant,https://www.yelp.com/biz/matsu-restaurant-huntington-beach,905,$$,Japanese- Sushi Bars,18035 Beach Blvd,Huntington Beach,(714) 848-4404
Cordon Blue Restaurant and Lounge,https://www.yelp.com/biz/cordon-blue-restaurant-and-lounge-westminster,4,$$,Asian Fusion,15380 Beach Blvd,Westminster,(714) 886-7310
La Petite Baguette,https://www.yelp.com/biz/la-petite-baguette-huntington-beach,155,$,French- Sandwiches,16367 Bolsa Chica Rd,Huntington Beach,(714) 840-1900
Saint Marc Pub-Cafe- Bakery & Cheese Affinage,https://www.yelp.com/biz/saint-marc-pub-cafe-bakery-and-cheese-affinage-huntington-beach-5,538,$$,Pubs- Bakeries- American (New),21058 Pacific Coast Hwy,Huntington Beach,(714) 374-1101
King’s Fish House,https://www.yelp.com/biz/kings-fish-house-huntington-beach,557,$$,Seafood,7691 Edinger Ave,Huntington Beach,(714) 793-1177
BT’s Southern BBQ,https://www.yelp.com/biz/bts-southern-bbq-huntington-beach,477,$$,Barbeque,7144 Edinger Ave,Huntington Beach,(714) 841-7016
Pho Phong Hai,https://www.yelp.com/biz/pho-phong-hai-westminster-2,5,$,Vietnamese,8433 Westminster Blvd,Westminster,(714) 417-7986
Shades Restaurant & Bar,https://www.yelp.com/biz/shades-restaurant-and-bar-huntington-beach-2,147,$$$,American (New)- Bars,21100 Pacific Coast Hwy,Huntington Beach,(714) 845-8000
Canapa Farms Italian Bistro,https://www.yelp.com/biz/canapa-farms-italian-bistro-huntington-beach,66,$$,Italian- Pizza- Wine Bars,15941 Edwards St,Huntington Beach,(714) 891-0473
H.B. Pita Grill,https://www.yelp.com/biz/h-b-pita-grill-huntington-beach,475,$,Mediterranean- Arabian- Greek,19893 Brookhurst St,Huntington Beach,(714) 964-7482
SeaLegs At The Beach - Temp. CLOSED,https://www.yelp.com/biz/sealegs-at-the-beach-huntington-beach-3,678,$$,Tapas/Small Plates- Wine Bars- Caterers,17851 Pacific Coast Hwy,Huntington Beach,(714) 698-4188
Hashigo Sushi,https://www.yelp.com/biz/hashigo-sushi-huntington-beach,432,$$,Japanese- Sushi Bars,18685 Main St,Huntington Beach,(714) 848-1111
Bread Crumb Ohana Cafe,https://www.yelp.com/biz/bread-crumb-ohana-cafe-huntington-beach,834,$$,Breakfast & Brunch- Sandwiches- American (New),19079 Beach Blvd,Huntington Beach,(714) 960-5051
Egg Roll King,https://www.yelp.com/biz/egg-roll-king-huntington-beach-3,273,$,Chinese- Seafood- Soup,10078 Adams Ave,Huntington Beach,(714) 378-8612
Las Barcas Gourmet Mexican Food,https://www.yelp.com/biz/las-barcas-gourmet-mexican-food-huntington-beach-2,462,$,Mexican,21032 Beach Blvd,Huntington Beach,(714) 536-2616
Mitasie 3,https://www.yelp.com/biz/mitasie-3-huntington-beach-2,645,$,Vietnamese- Vegetarian- Chinese,7636 Edinger Ave,Huntington Beach,(714) 847-5262
TK Burgers,https://www.yelp.com/biz/tk-burgers-huntington-beach,331,$,Burgers,110 Pacific Coast Hwy,Huntington Beach,(714) 960-3238
Euro Caffe,https://www.yelp.com/biz/euro-caffe-huntington-beach,96,$$,Coffee & Tea- Breakfast & Brunch- Creperies,7631 Edinger Ave,Huntington Beach,(714) 372-7777
Mangia-Mangia,https://www.yelp.com/biz/mangia-mangia-huntington-beach,505,$$,Italian,16079 Goldenwest St,Huntington Beach,(714) 841-8887
Don The Beachcomber,https://www.yelp.com/biz/don-the-beachcomber-huntington-beach-2,641,$$,Hawaiian- Lounges,16278 Pacific Coast Hwy,Huntington Beach,(562) 592-1321
Himalayan Grill,https://www.yelp.com/biz/himalayan-grill-huntington-beach-2,313,$$,Indian- Himalayan/Nepalese- Vegetarian,16400 Pacific Coast Hwy,Huntington Beach,(562) 592-9080
Harry’s Grill,https://www.yelp.com/biz/harrys-grill-huntington-beach,141,$,American (Traditional)- Breakfast & Brunch- Fast Food,16685 Pacific Coast Hwy,Sunset Beach,(562) 592-9500
Saffron Grill,https://www.yelp.com/biz/saffron-grill-huntington-beach-2,433,$$,Middle Eastern- Persian/Iranian- Mediterranean,17441 Beach Blvd,Huntington Beach,(714) 843-0655
Pie-Not,https://www.yelp.com/biz/pie-not-huntington-beach,46,$,Bakeries- Coffee & Tea- Australian,21010 Pacific Coast Hwy- Lot 579,Huntington Beach,(949) 650-7437
Baci Restaurant,https://www.yelp.com/biz/baci-restaurant-huntington-beach,241,$$,Italian,18748 Beach Blvd,Huntington Beach,(714) 965-1194
Pho B,https://www.yelp.com/biz/pho-b-huntington-beach,39,$,Asian Fusion- Vietnamese,9048 Adams Ave,Huntington Beach,(714) 965-1695
VegiLicious,https://www.yelp.com/biz/vegilicious-huntington-beach-2,237,$$,Vegan- Vegetarian- Japanese,16821 Algonquin St,Huntington Beach,(714) 377-3928
Green Street Café,https://www.yelp.com/biz/green-street-caf%C3%A9-huntington-beach-2,389,$$,Cafes- Breakfast & Brunch- Comfort Food,4911 Warner Ave,Huntington Beach,(714) 846-4949
Slow Fish,https://www.yelp.com/biz/slow-fish-huntington-beach-2,464,$$,Sushi Bars- Japanese,16051 Bolsa Chica St,Huntington Beach,(714) 846-6951
Issara Thai Cuisine,https://www.yelp.com/biz/issara-thai-cuisine-huntington-beach,288,$$,Thai,7251 Warner Ave,Huntington Beach,(714) 847-7777
Esther’s Place,https://www.yelp.com/biz/esthers-place-huntington-beach,207,$,Sandwiches- Health Markets- Fast Food,6789 Warner Ave,Huntington Beach,(714) 841-4266
Coach’s Grille Fresh Mediterranean,https://www.yelp.com/biz/coachs-grille-fresh-mediterranean-huntington-beach,129,$$,Mediterranean- Imported Food,21006 Beach Blvd,Huntington Beach,(714) 960-3400
Bangkok Avenue,https://www.yelp.com/biz/bangkok-avenue-huntington-beach,388,$$,Thai,17221 Beach Blvd,Huntington Beach,(714) 841-9567
Monkey House Cafe,https://www.yelp.com/biz/monkey-house-cafe-huntington-beach,272,$,Coffee & Tea- Sandwiches- Cafes,18862 Beach Blvd,Huntington Beach,(714) 965-1135
Achiote Grill,https://www.yelp.com/biz/achiote-grill-huntington-beach,302,$,Mexican- Seafood- Breakfast & Brunch,16691 Gothard St,Huntington Beach,(714) 842-8919
Sweet Elle Café,https://www.yelp.com/biz/sweet-elle-caf%C3%A9-huntington-beach-2,662,$,Coffee & Tea- Cafes,7251 Warner Ave,Huntington Beach,(714) 841-1270
Buon Gusto,https://www.yelp.com/biz/buon-gusto-huntington-beach-3,525,$$,Italian- Specialty Food,4911 Warner Ave,Huntington Beach,(714) 846-2600
MoMa Coffee & Cafe,https://www.yelp.com/biz/moma-coffee-and-cafe-huntington-beach-7,72,$,Coffee & Tea- Breakfast & Brunch- Bakeries,10178 Adams Ave,Huntington Beach,(714) 378-0006
Curry & Kabab Bistro,https://www.yelp.com/biz/curry-and-kabab-bistro-huntington-beach,325,$$,Indian,7114 Edinger Ave,Huntington Beach,(714) 841-1800
Thai Wave Restaurant,https://www.yelp.com/biz/thai-wave-restaurant-huntington-beach,204,$$,Thai,522 Main St,Huntington Beach,(714) 960-0219
Super Mex,https://www.yelp.com/biz/super-mex-huntington-beach-5,169,$,Mexican,17210 Pacific Coast Hwy,Huntington Beach,(562) 592-4849
Silk Thai Cuisine,https://www.yelp.com/biz/silk-thai-cuisine-huntington-beach,448,$$,Thai,19690 Beach Blvd,Huntington Beach,(714) 964-1151
Bruster’s Real Ice Cream,https://www.yelp.com/biz/brusters-real-ice-cream-huntington-beach,37,$,Ice Cream & Frozen Yogurt- Desserts- Waffles,7451 Warner Ave,Huntington Beach,(714) 375-1777
Market Broiler,https://www.yelp.com/biz/market-broiler-huntington-beach,290,$$,Seafood,20111 Brookhurst St,Huntington Beach,(714) 963-7796
Bodhi Tree Cafe,https://www.yelp.com/biz/bodhi-tree-cafe-huntington-beach-2,385,$$,Vietnamese- Vegan,501 Main St,Huntington Beach,(714) 969-9500
Normita’s Surf City Taco,https://www.yelp.com/biz/normitas-surf-city-taco-huntington-beach,453,$,Mexican- Breakfast & Brunch,815 Indianapolis Ave,Huntington Beach,(714) 960-8730
Aloha Grill,https://www.yelp.com/biz/aloha-grill-huntington-beach,435,$$,Hawaiian,221 Main St,Huntington Beach,(714) 374-4427
Red Car Cafe,https://www.yelp.com/biz/red-car-cafe-huntington-beach,19,$,Cafes- Breakfast & Brunch,1207 Main St,Huntington Beach,(714) 845-5350
Fuji’s Famous Burger,https://www.yelp.com/biz/fujis-famous-burger-huntington-beach,552,$,Burgers,15885 Gothard St,Huntington Beach,(714) 891-6066
Phuket Thai Restaurant,https://www.yelp.com/biz/phuket-thai-restaurant-huntington-beach,399,$$,Thai- Asian Fusion,16612 Beach Blvd,Huntington Beach,(714) 842-1101
